month,linear,cum_21,cum_22,cum_23
Jan,0.083333333,0.062675161,0.05633365,0.070009636
Feb,0.166666667,0.151832627,0.12436035,0.142055782
Mar,0.25,0.255640672,0.213758316,0.210450249
Apr,0.333333333,0.341639983,0.283462344,0.288834809
May,0.416666667,0.414054592,0.344974572,0.366095394
Jun,0.5,0.497502547,0.426134472,0.426014875
Jul,0.583333333,0.551430956,0.4628423,0.504338693
Aug,0.666666667,0.652414347,0.572037738,0.572514615
Sep,0.75,0.767469899,0.712206504,
Oct,0.833333333,0.841253801,0.785334071,
Nov,0.916666667,0.933579661,0.867071812,
Dec,1,0.980419661,0.942378312,
